status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
2,6,1,4,1169,1,5,4,5,1,4,4,67,3,3,2,3,1,2,1,1
3,48,3,4,5951,2,3,2,2,1,2,4,22,3,3,1,3,1,1,1,0
1,12,1,7,2096,2,4,2,5,1,3,4,49,3,3,1,2,2,1,1,1
2,42,3,3,7882,2,4,2,5,3,4,3,45,3,1,1,3,2,1,1,1
2,24,0,1,4870,2,3,3,5,1,4,1,53,3,1,2,3,2,1,1,0
1,36,3,7,9055,1,3,2,5,1,4,1,35,3,1,1,2,2,2,1,1
1,24,3,3,2835,4,5,3,5,1,4,3,53,3,3,1,3,1,1,1,1
3,36,3,2,6948,2,3,2,5,1,2,2,35,3,2,1,4,1,2,1,1
1,12,3,4,3059,5,4,2,1,1,4,4,61,3,3,1,2,1,1,1,1
3,30,1,1,5234,2,1,4,3,1,2,2,28,3,3,2,4,1,1,1,0
3,12,3,1,1295,2,2,3,2,1,1,2,25,3,2,1,3,1,1,1,0
2,48,3,10,4308,2,2,3,2,1,4,3,24,3,2,1,3,1,1,1,0
3,12,3,4,1567,2,3,1,2,1,1,2,22,3,3,1,3,1,2,1,1
2,24,1,1,1199,2,5,4,5,1,4,2,60,3,3,2,2,1,1,1,0
2,15,3,1,1403,2,3,2,2,1,4,2,28,3,2,1,3,1,1,1,1
2,24,3,4,1282,3,3,4,2,1,2,2,32,3,3,1,2,1,1,1,0
1,24,1,4,2424,1,5,4,5,1,4,3,53,3,3,2,3,1,1,1,1
2,30,2,10,8072,1,2,2,5,1,3,2,25,1,3,3,3,1,1,1,1
3,24,3,2,12579,2,5,4,2,1,2,1,44,3,1,1,4,1,2,1,0
1,24,3,4,3430,4,5,3,5,1,2,2,31,3,3,1,3,2,2,1,1
1,9,1,1,2134,2,3,4,5,1,4,2,48,3,3,3,3,1,2,1,1
2,6,3,4,2647,4,3,2,5,1,3,4,44,3,2,1,3,2,1,1,1
2,10,1,1,2241,2,2,1,5,1,3,4,48,3,2,2,2,2,1,2,1
3,12,1,2,1804,3,2,3,5,1,4,3,44,3,3,1,3,1,1,1,1
1,10,1,3,2069,1,3,2,3,1,1,2,26,3,3,2,3,1,1,2,1
2,6,3,3,1374,2,3,1,5,1,2,4,36,1,3,1,2,1,2,1,1
1,6,2,4,426,2,5,4,3,1,4,2,39,3,3,1,2,1,1,1,1
4,12,4,4,409,5,3,3,2,1,3,4,42,3,2,2,3,1,1,1,1
3,7,3,4,2415,2,3,3,5,3,2,4,34,3,3,1,3,1,1,1,1
2,60,0,10,6836,2,5,3,5,1,4,1,63,3,3,2,3,1,2,1,0
3,18,3,10,1913,5,2,3,3,1,3,4,36,1,3,1,3,1,2,1,1
2,24,3,3,4020,2,3,2,5,1,2,2,27,2,3,1,3,1,1,1,1
3,18,3,1,5866,3,3,2,5,1,2,2,30,3,3,2,3,1,2,1,1
1,12,1,10,1264,1,5,4,5,1,4,1,57,3,2,1,2,1,1,1,1
4,12,3,3,1474,2,2,4,2,1,1,3,33,1,3,1,4,1,2,1,1
3,45,1,4,4746,2,2,4,5,1,2,3,25,3,3,2,2,1,1,1,0
1,48,1,7,6110,2,3,1,5,1,3,1,31,1,1,1,3,1,2,1,1
4,18,3,4,2100,2,3,4,5,2,2,4,37,2,3,1,3,1,1,1,0
4,10,3,5,1225,2,3,2,5,1,2,2,37,3,3,1,3,1,2,1,1
3,9,3,4,458,2,3,4,5,1,3,4,24,3,3,1,3,1,1,1,1
1,30,3,4,2333,4,5,4,5,1,2,2,30,1,3,1,4,1,1,1,1
3,12,3,4,1158,4,3,3,1,1,1,2,26,3,3,1,3,1,2,1,1
3,18,0,6,6204,2,3,2,5,1,4,4,44,3,3,1,2,2,2,1,1
2,30,1,2,6187,3,4,1,3,1,4,2,24,3,2,2,3,1,1,1,1
2,48,1,2,6143,2,5,4,2,1,4,1,58,2,1,2,2,1,1,1,0
1,11,1,1,1393,2,2,4,2,1,4,2,35,3,3,2,4,1,1,1,1
1,36,3,4,2299,4,5,4,5,1,4,2,39,3,3,1,3,1,1,1,1
2,6,3,2,1352,4,1,1,2,1,2,3,23,3,2,1,1,1,2,1,1
1,11,1,1,7228,2,3,1,5,1,4,3,39,3,3,2,2,1,1,1,1
1,12,3,4,2073,3,3,4,2,2,2,4,28,3,3,1,3,1,1,1,1
3,24,0,3,2333,1,2,4,5,1,2,3,29,1,3,1,2,1,1,1,1
3,27,0,2,5965,2,5,1,5,1,2,2,30,3,3,2,4,1,2,1,1
1,12,3,4,1262,2,3,3,5,1,2,2,25,3,3,1,3,1,1,1,1
1,18,3,2,3378,1,3,2,5,1,1,3,31,3,3,1,3,1,2,1,1
3,36,0,1,2225,2,5,4,5,1,4,1,57,1,1,2,3,1,2,1,0
1,6,4,1,783,1,3,1,5,3,2,4,26,2,3,1,2,2,1,1,1
3,12,3,4,6468,1,1,2,5,1,1,1,52,3,3,1,4,1,2,1,0
1,36,1,4,9566,2,3,2,2,1,2,2,31,2,3,2,3,1,1,1,1
4,18,3,1,1961,2,5,3,2,1,2,2,23,3,3,1,4,1,1,1,1
2,36,1,3,6229,2,2,4,2,2,4,1,23,3,2,2,2,1,2,1,0
3,9,3,10,1391,2,3,2,3,1,1,4,27,1,3,1,3,1,2,1,1
3,15,1,4,1537,1,5,4,5,3,4,4,50,3,3,2,3,1,2,1,1
3,36,2,10,1953,2,5,4,5,1,4,1,61,3,1,1,4,1,2,1,0
3,48,2,10,14421,2,3,2,5,1,2,2,25,3,3,1,3,1,2,1,0
1,24,3,4,3181,2,2,4,2,1,4,3,26,3,3,1,3,1,2,1,1
1,27,3,6,5190,1,5,4,5,1,4,3,48,3,3,4,3,2,2,1,1
1,12,3,4,2171,2,2,2,2,1,2,2,29,1,3,1,3,1,1,1,1
3,12,3,1,1007,5,3,4,3,1,1,4,22,3,3,1,3,1,1,1,1
1,36,3,7,1819,2,3,4,5,1,4,1,37,2,1,1,3,1,2,1,0
1,36,3,4,2394,1,3,4,2,1,4,2,25,3,3,1,3,1,1,1,1
1,36,3,2,8133,2,3,1,2,1,2,3,30,1,3,1,3,1,1,1,1
1,7,1,4,730,1,5,4,5,1,2,3,46,3,2,2,2,1,2,1,1
2,8,1,0,1164,2,5,3,5,1,4,1,51,1,1,2,4,2,2,1,1
3,42,1,10,5954,2,4,2,2,1,1,4,41,1,3,2,2,1,1,1,1
2,36,3,7,1977,1,5,4,5,1,4,1,40,3,3,1,4,1,2,1,0
2,12,1,2,1526,2,5,4,5,1,4,1,66,3,1,2,4,1,1,1,1
2,42,3,4,3965,2,2,4,5,1,3,2,34,3,3,1,3,1,1,1,0
3,11,0,4,4771,2,4,2,5,1,4,3,51,3,3,1,3,1,1,1,1
1,54,2,2,9436,1,3,2,5,1,2,3,39,3,3,1,2,2,1,1,1
3,30,3,3,3832,2,2,2,3,1,1,3,22,3,3,1,3,1,1,1,1
1,24,3,4,5943,1,2,1,2,1,1,2,44,3,3,2,3,1,2,1,0
1,15,3,4,1213,4,5,4,5,1,3,3,47,2,3,1,3,1,2,1,1
1,18,3,10,1568,3,3,3,2,1,4,3,24,3,2,1,2,1,1,1,1
2,24,3,0,1755,2,5,4,2,3,4,4,58,3,3,1,2,1,2,1,1
2,10,3,4,2315,2,5,3,5,1,4,4,52,3,3,1,2,1,1,1,1
1,12,1,10,1412,2,3,4,2,3,2,4,29,3,3,2,4,1,2,1,1
3,18,1,3,1295,2,2,4,2,1,1,3,27,3,3,2,3,1,1,1,1
3,36,3,7,12612,3,3,1,5,1,4,1,47,3,1,1,3,2,2,1,0
2,18,3,1,2249,3,4,4,5,1,3,2,30,3,3,1,4,2,2,1,1
2,12,2,6,1108,2,4,4,5,1,3,4,28,3,3,2,3,1,1,1,0
1,12,1,4,618,2,5,4,5,1,4,4,56,3,3,1,3,1,1,1,1
2,12,1,2,1409,2,5,4,5,1,3,4,54,3,3,1,3,1,1,1,1
1,12,1,4,797,1,5,4,2,1,3,3,33,1,3,1,2,2,1,1,0
4,24,1,3,3617,1,5,4,5,2,4,1,20,3,2,2,3,1,1,1,1
3,12,3,1,1318,5,5,4,5,1,4,4,54,3,3,1,3,1,2,1,1
3,54,2,10,15945,2,2,3,5,1,4,1,58,3,2,1,3,1,2,1,0
1,12,1,7,2012,1,4,4,2,1,2,2,61,3,3,1,3,1,1,1,1
3,18,3,10,2622,3,3,4,5,1,4,2,34,3,3,1,3,1,1,1,1
3,36,1,4,2337,2,5,4,5,1,4,4,36,3,3,1,3,1,1,1,1
3,20,0,2,7057,1,4,3,5,1,4,3,36,1,2,2,4,2,2,1,1
1,24,3,1,1469,3,5,4,3,1,4,4,41,3,2,1,2,1,1,1,1
3,36,3,4,2323,2,4,4,5,1,4,2,24,3,2,1,3,1,1,1,1
1,6,0,4,932,2,3,3,2,1,2,4,24,3,3,1,3,1,1,1,1
3,9,1,3,1919,2,4,4,5,1,3,2,35,3,2,1,3,1,2,1,1
1,12,3,2,2445,1,2,2,3,1,4,2,26,3,2,1,3,1,2,1,1
3,24,1,0,11938,2,3,2,5,2,3,2,39,3,3,2,4,2,2,1,0
1,18,4,1,6458,2,5,2,5,1,4,1,39,1,3,2,4,2,2,1,0
3,12,3,1,6078,2,4,2,5,1,2,2,32,3,3,1,3,1,1,1,1
2,24,3,3,7721,1,2,1,2,1,2,3,30,3,3,1,3,1,2,2,1
3,14,3,10,1410,4,5,1,3,1,2,4,35,3,3,1,3,1,2,1,1
3,6,0,10,1449,3,5,1,1,1,2,2,31,1,3,2,3,2,1,1,1
4,15,3,7,392,2,2,4,2,1,4,3,23,3,2,1,3,1,2,1,1
3,18,3,1,6260,2,4,3,5,1,3,4,28,3,2,1,2,1,1,1,1
1,36,1,1,7855,2,3,4,2,1,2,4,25,2,3,2,3,1,2,1,0
2,12,3,4,1680,4,5,3,3,1,1,4,35,3,3,1,3,1,1,1,1
1,48,1,4,3578,1,5,4,5,1,1,4,47,3,3,1,3,1,2,1,1
2,42,3,4,7174,1,4,4,2,1,3,2,30,3,3,1,4,1,2,1,0
2,10,1,3,2132,1,2,2,2,2,3,4,27,3,2,2,3,1,1,2,1
2,33,1,3,4281,4,3,1,2,1,4,2,23,3,3,2,3,1,1,1,0
3,12,1,1,2366,4,4,3,1,1,3,2,36,3,3,1,4,1,2,1,1
2,21,3,4,1835,2,3,3,2,1,2,4,25,3,3,2,3,1,2,1,0
1,24,1,2,3868,2,5,4,2,1,2,2,41,3,2,2,4,1,2,1,1
1,12,3,3,1768,2,3,3,5,1,2,4,24,3,2,1,2,1,1,1,1
4,10,1,1,781,2,5,4,5,1,4,1,63,3,1,2,3,1,2,1,1
3,18,3,3,1924,1,2,4,2,1,3,4,27,3,2,1,3,1,1,1,0
2,12,1,1,2121,2,3,4,5,1,2,3,30,3,3,2,3,1,1,1,1
2,12,3,4,701,2,3,4,3,1,2,4,40,3,3,1,2,1,1,1,1
3,12,3,6,639,2,3,4,5,1,2,2,30,3,3,1,3,1,1,1,0
3,12,1,2,1860,2,1,4,5,1,2,2,34,3,3,2,4,1,2,1,1
2,12,1,1,3499,2,3,3,2,2,2,4,29,3,3,2,3,1,1,1,0
3,48,3,1,8487,1,4,1,2,1,2,2,24,3,3,1,3,1,1,1,1
2,36,0,7,6887,2,3,4,5,1,3,3,29,2,3,1,3,1,2,1,0
1,15,3,3,2708,2,2,2,5,1,3,3,27,1,3,2,2,1,1,1,1
1,18,3,3,1984,2,3,4,5,1,4,1,47,1,1,2,3,1,1,1,1
1,60,3,4,10144,3,4,2,2,1,4,4,21,3,3,1,3,1,2,1,1
1,12,1,4,1240,1,5,4,2,1,2,4,38,3,3,2,3,1,2,1,1
1,27,0,2,8613,5,3,2,5,1,2,2,27,3,3,2,3,1,1,1,1
3,12,3,4,766,4,3,4,5,1,3,4,66,3,3,1,2,1,1,1,0
3,15,1,4,2728,1,4,4,5,3,2,4,35,1,3,3,3,1,2,1,1
4,12,3,4,1881,2,3,2,2,1,2,2,44,3,2,1,2,1,2,1,1
4,6,3,1,709,5,2,2,3,1,2,4,27,3,3,1,1,1,1,2,1
3,36,3,4,4795,2,2,4,2,1,1,1,30,3,3,1,4,1,2,1,1
2,27,3,4,3416,2,3,3,5,1,2,2,27,3,3,1,4,1,1,1,1
2,18,3,3,2462,2,3,2,5,1,2,2,22,3,3,1,3,1,1,1,0
1,21,1,3,2288,2,2,4,2,1,4,3,23,3,3,1,3,1,2,1,1
3,48,4,10,3566,3,4,4,5,1,2,2,30,3,3,1,3,1,1,1,1
2,6,1,1,860,2,5,1,2,1,4,1,39,3,3,2,3,1,2,1,1
1,12,1,1,682,3,4,4,2,1,3,2,51,3,3,2,3,1,2,1,1
2,36,1,3,5371,2,3,3,5,3,2,3,28,3,3,2,3,1,1,1,1
1,18,1,4,1582,5,5,4,5,1,4,2,46,3,3,2,3,1,1,1,1
1,6,3,4,1346,3,5,2,5,1,4,1,42,1,1,1,3,2,2,1,1
1,10,3,4,1924,2,3,1,5,1,4,3,38,3,3,1,3,1,2,2,1
4,36,3,4,5848,2,3,4,5,1,1,2,24,3,3,1,3,1,1,1,1
3,24,1,2,7758,5,5,2,2,1,4,1,29,3,2,1,3,1,1,1,1
3,24,0,10,6967,3,4,4,5,1,4,2,36,3,2,1,4,1,2,1,1
2,12,3,3,1282,2,3,2,2,1,4,2,20,3,2,1,3,1,1,1,0
2,9,1,6,1288,3,5,3,5,3,4,4,48,3,3,2,3,2,1,2,1
2,12,4,9,339,2,5,4,3,1,1,2,45,1,3,1,2,1,1,1,1
3,24,3,1,3512,3,4,2,5,1,3,2,38,1,3,2,3,1,2,1,1
1,6,1,4,1898,1,3,1,5,1,2,4,34,3,3,2,2,2,1,1,1
1,24,1,4,2872,3,5,3,5,1,4,4,36,3,3,1,3,2,2,1,1
1,18,1,1,1055,2,2,4,2,1,1,3,30,3,3,2,3,1,1,1,1
1,15,3,5,1262,4,4,4,5,1,3,3,36,3,3,2,3,1,2,1,1
3,10,3,1,7308,2,1,2,5,1,4,1,70,1,1,1,4,1,2,1,1
1,36,3,1,909,4,5,4,5,1,4,3,36,3,3,1,3,1,1,1,1
1,6,3,3,2978,4,3,1,5,1,2,2,32,3,3,1,3,1,2,1,1
2,18,3,3,1131,2,1,4,2,1,2,2,33,3,3,1,3,1,1,1,0
3,11,3,3,1577,5,2,4,2,1,1,4,20,3,3,1,3,1,1,1,1
1,24,3,3,3972,2,4,2,2,1,4,3,25,3,2,1,3,1,2,1,1
3,24,1,10,1935,2,5,4,1,1,4,4,31,3,3,2,3,1,2,1,0
2,15,2,1,950,2,5,4,5,1,3,2,33,3,2,2,3,2,1,1,0
1,12,3,3,763,2,3,4,2,1,1,4,26,3,3,1,3,1,2,1,1
3,24,0,3,2064,2,1,3,2,1,2,3,34,3,3,1,4,1,2,1,0
3,8,3,4,1414,2,3,4,5,3,2,4,33,3,3,1,3,1,1,2,1
2,21,0,7,3414,2,2,2,5,1,1,3,26,3,3,2,3,1,1,1,0
1,30,4,2,7485,1,1,4,2,1,1,4,53,1,3,1,4,1,2,1,0
2,12,3,3,2577,2,3,2,1,1,1,2,42,3,3,1,3,1,1,1,1
2,6,1,4,338,4,5,4,5,1,4,2,52,3,3,2,3,1,1,1,1
1,12,3,4,1963,2,4,4,5,1,2,2,31,3,2,2,4,2,2,1,1
2,21,1,1,571,2,5,4,5,1,4,4,65,3,3,2,3,1,1,1,1
1,36,0,10,9572,2,2,1,1,1,1,2,28,3,3,2,3,1,1,1,0
3,36,0,10,4455,2,3,2,1,1,2,4,30,2,3,2,4,1,2,1,0
2,21,4,1,1647,1,3,4,5,1,2,3,40,3,3,2,2,2,1,1,0
1,24,1,3,3777,5,3,4,5,1,4,4,50,3,3,1,3,1,2,1,1
3,18,1,1,884,2,5,4,5,1,4,2,36,1,3,1,3,2,2,1,0
1,15,1,4,1360,2,3,4,5,1,2,3,31,3,3,2,3,1,1,1,1
3,9,4,2,5129,2,5,2,2,1,4,1,74,1,1,1,4,2,2,1,0
3,16,1,1,1175,2,1,2,5,1,3,2,68,3,1,3,1,1,2,1,1
2,12,3,4,674,3,4,4,3,1,1,3,20,3,3,1,3,1,1,1,0
3,18,2,3,3244,2,3,1,2,1,4,2,33,1,3,2,3,1,2,1,1
1,24,3,10,4591,5,3,2,5,1,3,3,54,3,3,3,4,1,2,1,0
3,48,2,10,3844,3,4,4,5,1,4,1,34,3,1,1,2,2,1,1,0
3,27,3,10,3915,2,3,4,5,1,2,2,36,3,3,1,3,2,2,1,0
1,6,3,4,2108,2,4,2,3,1,2,4,29,3,2,1,3,1,1,1,1
3,45,3,4,3031,3,3,4,5,3,4,3,21,3,2,1,3,1,1,1,0
3,9,1,7,1501,2,5,2,2,1,3,2,34,3,3,2,4,1,2,1,0
1,6,1,4,1382,2,3,1,2,1,1,2,28,3,3,2,3,1,2,1,1
3,12,3,3,951,3,2,4,2,1,4,2,27,1,2,4,3,1,1,1,0
3,24,3,2,2760,1,5,4,5,1,4,1,36,1,1,1,3,1,2,1,1
3,18,0,3,4297,2,5,4,1,1,3,1,40,3,3,1,4,1,2,1,0
1,9,1,7,936,4,5,4,5,1,2,2,52,3,3,2,3,1,2,1,1
2,12,3,1,1168,2,3,4,3,1,3,4,27,3,3,1,2,1,1,1,1
1,27,0,10,5117,2,4,3,5,1,4,2,26,3,3,2,3,1,1,1,1
2,12,3,9,902,2,4,4,3,1,4,3,21,3,2,1,3,1,1,1,0
1,12,1,1,1495,2,5,4,5,1,1,4,38,3,3,2,2,2,1,1,1
2,30,1,2,10623,2,5,3,5,1,4,1,38,3,1,3,4,2,2,1,1
1,12,1,3,1935,2,5,4,5,1,4,4,43,3,3,3,3,1,2,1,1
3,12,1,5,1424,2,4,4,5,1,3,3,26,3,3,1,3,1,1,1,1
2,24,3,10,6568,2,3,2,3,1,2,2,21,2,3,1,2,1,1,1,1
1,12,3,2,1413,5,4,3,5,1,2,3,55,3,3,1,3,1,1,2,1
1,9,1,4,3074,1,3,1,5,1,2,4,33,3,3,2,3,2,1,1,1
1,36,3,4,3835,1,5,2,2,1,4,4,45,3,3,1,2,1,2,1,1
2,27,2,10,5293,2,1,2,5,1,4,3,50,2,3,2,3,1,2,1,0
4,30,0,10,1908,2,5,4,5,1,4,4,66,3,3,1,4,1,2,1,0
1,36,1,4,3342,1,5,4,5,1,2,2,51,3,3,1,3,1,2,1,1
3,6,1,9,932,1,4,1,2,1,3,3,39,3,3,2,2,1,1,1,1
2,18,2,10,3104,2,4,3,5,1,1,3,31,1,3,1,3,1,2,1,1
4,36,3,4,3913,2,3,2,5,1,2,4,23,3,3,1,3,1,2,1,1
2,24,3,3,3021,2,3,2,1,1,2,4,24,3,2,1,2,1,1,1,1
1,10,3,1,1364,2,3,2,2,1,4,2,64,3,3,1,3,1,2,1,1
3,12,3,4,625,2,2,4,3,3,1,4,26,1,3,1,2,1,1,1,1
2,12,3,7,1200,1,3,4,2,1,4,3,23,1,2,1,3,1,2,1,1
1,12,3,4,707,2,3,4,5,1,2,4,30,1,3,2,3,1,1,1,1
1,24,0,10,2978,1,3,4,5,1,4,4,32,3,3,2,3,2,2,1,1
1,15,3,2,4657,2,3,3,5,1,2,2,30,3,3,1,3,1,2,1,1
1,36,2,6,2613,2,3,4,5,1,2,2,27,3,3,2,3,1,1,1,1
3,48,3,4,10961,5,4,1,5,2,2,1,27,1,3,2,3,1,2,1,0
2,12,3,3,7865,2,5,4,5,1,4,1,53,3,1,1,4,1,2,1,0
1,9,3,4,1478,2,4,4,5,1,2,2,22,3,3,1,3,1,1,1,0
2,24,3,3,3149,2,2,4,5,1,1,1,22,1,1,1,3,1,1,1,1
4,36,3,4,4210,2,3,4,5,1,2,2,26,3,3,1,3,1,1,1,0
1,9,3,1,2507,4,5,2,5,1,4,1,51,3,1,1,2,1,1,1,1
1,12,3,4,2141,3,4,3,5,1,1,1,35,3,3,1,3,1,1,1,1
3,18,3,4,866,2,3,4,3,3,2,4,25,3,3,1,2,1,1,1,1
1,4,1,4,1544,2,4,2,5,1,1,4,42,3,3,3,2,2,1,1,1
2,24,3,4,1823,2,1,4,5,1,2,2,30,2,3,1,4,2,1,1,0
3,6,3,1,14555,1,1,1,5,1,2,3,23,3,3,1,1,1,2,1,0
3,21,3,10,2767,3,5,4,1,1,2,2,61,1,2,2,2,1,1,1,0
1,12,1,4,1291,2,3,4,2,1,2,3,35,3,3,2,3,1,1,1,1
2,30,3,4,2522,2,5,1,5,3,3,3,39,3,3,1,3,2,1,1,1
2,24,3,1,915,1,5,4,2,1,2,2,29,1,3,1,3,1,1,1,0
1,6,3,4,1595,2,4,3,5,1,2,3,51,3,3,1,3,2,1,1,1
2,48,2,2,4605,2,5,3,5,1,4,1,24,3,1,2,3,2,1,1,0
1,12,1,10,1185,2,3,3,2,1,2,4,27,3,3,2,3,1,1,1,1
1,12,4,9,3447,4,3,4,2,1,3,4,35,3,3,1,2,2,1,1,1
